Subject,SubjectLabel,Relation,Object,ObjectLabel
陶器,器物,wasExcavatedin,二里头遗址,大遗址
铜器,器物,wasExcavatedin,二里头遗址,大遗址
冶炼遗物,器物,wasExcavatedin,二里头遗址,大遗址
玉器,器物,wasExcavatedin,二里头遗址,大遗址
绿松石器,器物,wasExcavatedin,二里头遗址,大遗址
石器,器物,wasExcavatedin,二里头遗址,大遗址
漆木器,器物,wasExcavatedin,二里头遗址,大遗址
纺织品,器物,wasExcavatedin,二里头遗址,大遗址
骨、角、蚌、牙、贝、螺质遗物,器物,wasExcavatedin,二里头遗址,大遗址
陶器,器物,Belongsto,二里头文化,遗产文化
陶器,器物,bearsFeature,形制多样、种类丰富,特征
二里头文化,遗产文化,contains,二里头遗址,大遗址
陶器,器物,hasFunction,生活用具,功用
陶器,器物,hasFunction,其他器具,功用
陶容器,器物,hasType,深腹罐,器物
陶容器,器物,hasType,圆腹罐,器物
陶容器,器物,hasType,鼎,器物
陶容器,器物,hasType,甑,器物
陶容器,器物,hasType,鬲,器物
陶容器,器物,hasType,盆,器物
陶容器,器物,hasType,刻槽盆,器物
陶容器,器物,hasType,平底盆,器物
陶容器,器物,hasType,豆,器物
陶容器,器物,hasType,三足皿,器物
陶容器,器物,hasType,捏口罐,器物
陶容器,器物,hasType,敛口罐,器物
陶容器,器物,hasType,高领罐,器物
陶容器,器物,hasType,高领尊,器物
陶容器,器物,hasType,矮领尊,器物
陶容器,器物,hasType,大口尊,器物
陶容器,器物,hasType,小尊,器物
陶容器,器物,hasType,缸,器物
陶容器,器物,hasType,瓮,器物
陶容器,器物,hasType,鬶,器物
陶容器,器物,hasType,盉,器物
陶容器,器物,hasType,爵,器物
陶容器,器物,hasType,觚,器物
陶容器,器物,hasType,杯,器物
陶容器,器物,hasType,器盖,器物
普通易熔黏土,质料,hasType,夹砂,质料
普通易熔黏土,质料,hasType,泥质,质料
一期早段,时间,bearsFeature,泥质陶数量略多于夹砂陶,特征
一期早段,时间,contains,尊,器物
一期早段,时间,contains,深腹罐,器物
一期早段,时间,contains,圆腹罐,器物
一期早段,时间,contains,鼎,器物
一期早段,时间,contains,盉,器物
一期早段,时间,contains,折沿盆,器物
一期早段,时间,contains,刻槽盆,器物
一期早段,时间,contains,捏口罐,器物
一期早段,时间,contains,平底盆,器物
一期早段,时间,contains,瓮,器物
一期早段,时间,contains,鬶,器物
一期早段,时间,contains,爵,器物
一期早段,时间,contains,豆,器物
一期早段,时间,contains,小口尊,器物
一期早段,时间,contains,矮领尊,器物
一期早段,时间,contains,缸,器物
一期早段,时间,contains,器盖,器物
一期晚段,时间,contains,尊,器物
一期晚段,时间,contains,深腹罐,器物
一期晚段,时间,contains,圆腹罐,器物
一期晚段,时间,contains,鼎,器物
一期晚段,时间,contains,甑,器物
一期晚段,时间,contains,刻槽盆,器物
一期晚段,时间,contains,捏口罐,器物
一期晚段,时间,contains,壶,器物
一期晚段,时间,contains,觚,器物
一期晚段,时间,contains,鬶,器物
一期晚段,时间,contains,盉,器物
一期晚段,时间,contains,爵,器物
一期晚段,时间,contains,豆,器物
一期晚段,时间,contains,三足皿,器物
一期晚段,时间,contains,圈足盘,器物
一期晚段,时间,contains,折沿盆,器物
一期晚段,时间,contains,平底盆,器物
一期晚段,时间,contains,小口尊,器物
一期晚段,时间,contains,矮领尊,器物
一期晚段,时间,contains,缸,器物
一期晚段,时间,contains,器盖,器物
一期晚段,时间,bearsFeature,夹砂陶与泥质陶数量相当,特征
二期早段,时间,bearsFeature,泥质陶多于夹砂陶,特征
二期早段,时间,contains,深腹罐,器物
二期早段,时间,contains,尊,器物
二期早段,时间,contains,圆腹罐,器物
二期早段,时间,contains,盆,器物
二期早段,时间,contains,器盖,器物
二期早段,时间,contains,豆,器物
二期早段,时间,contains,缸,器物
二期早段,时间,contains,瓮,器物
二期早段,时间,contains,捏口罐,器物
二期早段,时间,contains,平底盆,器物
二期晚段,时间,bearsFeature,泥质陶多于夹砂陶,特征
二期晚段,时间,contains,尊,器物
二期晚段,时间,contains,深腹罐,器物
二期晚段,时间,contains,圆腹罐,器物
二期晚段,时间,contains,盆,器物
二期晚段,时间,contains,平底盆,器物
二期晚段,时间,contains,捏口罐,器物
二期晚段,时间,contains,豆,器物
二期晚段,时间,contains,甑,器物
二期晚段,时间,contains,缸,器物
三期早段,时间,bearsFeature,夹砂陶多于泥质陶,特征
三期早段,时间,contains,圆腹罐,器物
三期早段,时间,contains,深腹罐,器物
三期早段,时间,contains,尊,器物
三期早段,时间,contains,盆,器物
三期早段,时间,contains,捏口罐,器物
三期早段,时间,contains,缸,器物
三期早段,时间,contains,器盖,器物
三期晚段,时间,bearsFeature,夹砂陶多于泥质陶,特征
三期晚段,时间,contains,尊,器物
三期晚段,时间,contains,深腹罐,器物
三期晚段,时间,contains,圆腹罐,器物
三期晚段,时间,contains,盆,器物
三期晚段,时间,contains,捏口罐,器物
三期晚段,时间,contains,缸,器物
三期晚段,时间,contains,器盖,器物
四期早段,时间,bearsFeature,夹砂陶多于泥质陶,特征
四期早段,时间,contains,尊,器物
四期早段,时间,contains,深腹罐,器物
四期早段,时间,contains,圆腹罐,器物
四期早段,时间,contains,盆,器物
四期早段,时间,contains,缸,器物
四期早段,时间,contains,器盖,器物
四期晚段,时间,bearsFeature,夹砂陶与泥质陶数量相当,特征
四期晚段,时间,contains,尊,器物
四期晚段,时间,contains,深腹罐,器物
四期晚段,时间,contains,圆腹罐,器物
四期晚段,时间,contains,盆,器物
四期晚段,时间,contains,缸,器物
四期晚段,时间,contains,瓮,器物
四期晚段,时间,contains,器盖,器物
四期晚段,时间,contains,捏口罐,器物
陶器,器物,bearsFeature,施加纹饰,特征
陶器,器物,bearsFeature,施加麻点,特征
陶器,器物,bearsFeature,素面抹光,特征
陶器,器物,bearsFeature,素面磨光,特征
陶器,器物,bearsFeature,附加銴、耳或乳钉,特征
陶器,器物,bearsFeature,镂孔,特征
陶器,器物,bearsFeature,刻划符号,特征
陶器,器物,carries,篮纹,图案纹饰
陶器,器物,carries,方格纹,图案纹饰
陶器,器物,carries,绳纹,图案纹饰
陶器,器物,carries,附加堆纹,图案纹饰
陶器,器物,carries,凹凸弦纹,图案纹饰
陶器,器物,carries,刻划纹,图案纹饰
陶器,器物,carries,指甲纹,图案纹饰
陶器,器物,carries,戳刺纹,图案纹饰
陶器,器物,carries,和云纹,图案纹饰
陶器,器物,carries,雷纹,图案纹饰
陶器,器物,carries,“S”纹,图案纹饰
陶器,器物,carries,回形纹,图案纹饰
陶器,器物,carries,花瓣纹,图案纹饰
陶器,器物,carries,圆圈纹,图案纹饰
陶器,器物,carries,龙,图案纹饰
陶器,器物,carries,蛇鸟,图案纹饰
陶器,器物,carries,鱼,图案纹饰
陶器,器物,carries,蚪,图案纹饰
陶器,器物,carries,兽面,图案纹饰
罐类,器物,carries,方格纹,图案纹饰
罐类,器物,carries,篮纹,图案纹饰
罐类,器物,carries,绳纹,图案纹饰
鼎,器物,carries,方格纹,图案纹饰
鼎,器物,carries,篮纹,图案纹饰
鼎,器物,carries,绳纹,图案纹饰
鬲,器物,carries,方格纹,图案纹饰
鬲,器物,carries,篮纹,图案纹饰
鬲,器物,carries,绳纹,图案纹饰
甗,器物,carries,方格纹,图案纹饰
甗,器物,carries,篮纹,图案纹饰
甗,器物,carries,绳纹,图案纹饰
甑,器物,carries,方格纹,图案纹饰
甑,器物,carries,篮纹,图案纹饰
甑,器物,carries,绳纹,图案纹饰
盆,器物,carries,方格纹,图案纹饰
刻槽盆,器物,carries,方格纹,图案纹饰
尊类,器物,carries,方格纹,图案纹饰
缸,器物,carries,方格纹,图案纹饰
瓮,器物,carries,方格纹,图案纹饰
盆,器物,carries,篮纹,图案纹饰
刻槽盆,器物,carries,篮纹,图案纹饰
尊类,器物,carries,篮纹,图案纹饰
缸,器物,carries,篮纹,图案纹饰
瓮,器物,carries,篮纹,图案纹饰
盆,器物,carries,绳纹,图案纹饰
刻槽盆,器物,carries,绳纹,图案纹饰
尊类,器物,carries,绳纹,图案纹饰
缸,器物,carries,绳纹,图案纹饰
瓮,器物,carries,绳纹,图案纹饰
篮纹,图案纹饰,Existin,一、二期,时间
方格纹,图案纹饰,Existin,一、二期,时间
一期早段至二期早段,时间,bearsFeature,篮纹、方格纹深而清晰,特征
二期晚段,时间,bearsFeature,篮纹浅而模糊,特征
一期,时间,bearsFeature,绳纹比例略低于篮纹,特征
缸,器物,carries,附加堆纹,图案纹饰
瓮,器物,carries,附加堆纹,图案纹饰
尊,器物,carries,附加堆纹,图案纹饰
尊类,器物,carries,凹弦纹,图案纹饰
平底盆,器物,carries,凹弦纹,图案纹饰
高领罐,器物,carries,凹弦纹,图案纹饰
敛口罐,器物,carries,凹弦纹,图案纹饰
缸,器物,carries,凹弦纹,图案纹饰
瓮,器物,carries,凹弦纹,图案纹饰
器盖,器物,carries,凹弦纹,图案纹饰
三足皿,器物,carries,凸弦纹,图案纹饰
豆,器物,carries,凸弦纹,图案纹饰
鬶,器物,carries,凸弦纹,图案纹饰
盉,器物,carries,凸弦纹,图案纹饰
爵,器物,carries,凸弦纹,图案纹饰
高领罐,器物,carries,指甲纹,图案纹饰
高领罐,器物,carries,刻划纹,图案纹饰
大口尊,器物,carries,刻划纹,图案纹饰
敛口罐,器物,carries,刻划纹,图案纹饰
大口尊,器物,carries,指甲纹,图案纹饰
敛口罐,器物,carries,指甲纹,图案纹饰
高领尊,器物,carries,刻划纹,图案纹饰
高领尊,器物,carries,指甲纹,图案纹饰
矮领尊,器物,carries,刻划纹,图案纹饰
矮领尊,器物,carries,指甲纹,图案纹饰
壶,器物,carries,刻划纹,图案纹饰
壶,器物,carries,指甲纹,图案纹饰
盉,器物,carries,刻划纹,图案纹饰
盉,器物,carries,指甲纹,图案纹饰
爵,器物,carries,刻划纹,图案纹饰
爵,器物,carries,指甲纹,图案纹饰
器盖,器物,carries,刻划纹,图案纹饰
器盖,器物,carries,指甲纹,图案纹饰
印纹,图案纹饰,hasType,云雷纹,图案纹饰
印纹,图案纹饰,hasType,回纹,图案纹饰
印纹,图案纹饰,hasType,斜线云纹,图案纹饰
印纹,图案纹饰,hasType,圆点重菱纹,图案纹饰
印纹,图案纹饰,hasType,重环纹,图案纹饰
印纹,图案纹饰,hasType,螺旋纹,图案纹饰
印纹,图案纹饰,hasType,旋云纹,图案纹饰
印纹,图案纹饰,hasType,花瓣纹,图案纹饰
印纹,图案纹饰,hasType,席纹,图案纹饰
印纹,图案纹饰,hasType,编织纹,图案纹饰
印纹,图案纹饰,hasType,眼形纹,图案纹饰
印纹,图案纹饰,hasType,蝉纹,图案纹饰
印纹,图案纹饰,hasType,卷云纹,图案纹饰
印纹,图案纹饰,hasType,云回纹,图案纹饰
印纹,图案纹饰,hasType,铆钉饰,图案纹饰
深腹罐,器物,carries,麻点,图案纹饰
圆腹罐,器物,carries,麻点,图案纹饰
甑,器物,carries,麻点,图案纹饰
盆,器物,carries,麻点,图案纹饰
捏口罐,器物,carries,麻点,图案纹饰
尊,器物,carries,麻点,图案纹饰
瓮,器物,carries,麻点,图案纹饰
甑,器物,bearsFeature,抹光处理,工艺技法
盆,器物,bearsFeature,抹光处理,工艺技法
平底盆,器物,bearsFeature,抹光处理,工艺技法
豆,器物,bearsFeature,抹光处理,工艺技法
三足皿,器物,bearsFeature,抹光处理,工艺技法
簋,器物,bearsFeature,抹光处理,工艺技法
壶,器物,bearsFeature,抹光处理,工艺技法
敛口罐,器物,bearsFeature,抹光处理,工艺技法
尊,器物,bearsFeature,抹光处理,工艺技法
瓮,器物,bearsFeature,抹光处理,工艺技法
鬶,器物,bearsFeature,抹光处理,工艺技法
盉,器物,bearsFeature,抹光处理,工艺技法
觚,器物,bearsFeature,抹光处理,工艺技法
杯,器物,bearsFeature,抹光处理,工艺技法
器盖,器物,bearsFeature,抹光处理,工艺技法
豆,器物,bearsFeature,镂孔,工艺技法
罐,器物,hasFunction,炊具,功用
鼎,器物,hasFunction,炊具,功用
甑,器物,hasFunction,炊具,功用
豆,器物,hasFunction,食器,功用
三足皿,器物,hasFunction,食器,功用
圈足盘,器物,hasFunction,食器,功用
簋,器物,hasFunction,食器,功用
爵,器物,hasFunction,酒器,功用
觚,器物,hasFunction,酒器,功用
盆,器物,hasFunction,盛储器,功用
尊,器物,hasFunction,盛储器,功用
瓮,器物,hasFunction,盛储器,功用
二里岗文化早期陶器,器物,hasType,附加堆纹,器物
二里岗文化早期陶器,器物,hasType,深腹罐,器物
二里岗文化早期陶器,器物,hasType,鬲,器物
二里岗文化早期陶器,器物,hasType,甗,器物
二里岗文化早期陶器,器物,hasType,盆,器物
二里岗文化早期陶器,器物,hasType,敛口罐,器物
二里岗文化早期陶器,器物,hasType,高领罐,器物
二里岗文化早期陶器,器物,hasType,捏口罐,器物
二里岗文化早期陶器,器物,hasType,豆,器物
二里岗文化早期陶器,器物,hasType,簋,器物
陶器,器物,hasType,大口尊,器物
二里岗文化早期陶器,器物,hasType,大口尊,器物
二里岗文化早期陶器,器物,hasType,瓮,器物
陶器,器物,wasExcavatedin,二里岗文化晚期,器物
陶器,器物,hasType,深腹罐,器物
陶器,器物,hasType,甑,器物
陶器,器物,hasType,甗,器物
陶器,器物,hasType,鬲,器物
陶器,器物,hasType,盆,器物
陶器,器物,hasType,刻槽盆,器物
陶器,器物,hasType,平底盆,器物
陶器,器物,hasType,敛口罐,器物
陶器,器物,hasType,高领罐,器物
陶器,器物,hasType,捏口罐,器物
陶器,器物,hasType,豆,器物
陶器,器物,hasType,簋,器物
陶器,器物,hasType,瓮,器物
陶器,器物,hasType,缸,器物
陶质小件遗物,器物,hasFunction,生产工具,功用
陶质小件遗物,器物,hasFunction,生活用器,功用
陶质小件遗物,器物,hasFunction,饰品,功用
陶质小件遗物,器物,hasFunction,乐器,功用
陶器,器物,bearsFeature,制法以轮制为主、兼用模制和手制,工艺技法
陶器,器物,UsedGeneralTechnique,泥条盘筑,工艺技法
陶器,器物,UsedGeneralTechnique,手握制,工艺技法
郑光,人物,creator,《二里头陶器集粹》,相关信息资源
《二里头陶器集粹》,相关信息资源,date,1995年,时间
陶器,器物,UsedGeneralTechnique,轮制,工艺技法
陶器,器物,UsedGeneralTechnique,手制,工艺技法
陶器,器物,UsedGeneralTechnique,轮制与手制兼用,工艺技法
郑窑遗址,其他遗址,islocatedin,河南池县,地点
二里头文化陶器,器物,bearsFeature,以手制为主、模制和轮制为辅,特征
二里头文化陶器,器物,wasExcavatedin,郑窑遗址,其他遗址
中国社会科学院考古研究所,组织机构,invActivity,中华文明探源工程,相关活动
中国科学技术大学,组织机构,invActivity,中华文明探源工程,相关活动
中国科学院上海硅酸盐研究所,组织机构,invActivity,中华文明探源工程,相关活动
二里头遗址,大遗址,hasRelevantResources,《二里头（1999—2006）》,相关信息资源
二里头文化铜器,器物,hasType,容器,器物
二里头文化铜器,器物,hasType,乐器,器物
二里头文化铜器,器物,hasType,武器,器物
二里头文化铜器,器物,hasType,工具,器物
二里头文化铜器,器物,hasType,礼仪用器,器物
容器类,器物,contains,爵,器物
容器类,器物,contains,角,器物
容器类,器物,contains,斝,器物
容器类,器物,contains,盉,器物
容器类,器物,contains,鼎,器物
容器类,器物,contains,觚,器物
乐器类,器物,contains,铜铃,器物
武器类,器物,contains,戈,器物
武器类,器物,contains,钺,器物
武器类,器物,contains,戚,器物
武器类,器物,contains,镞,器物
工具类,器物,contains,刀,器物
工具类,器物,contains,凿,器物
工具类,器物,contains,锥,器物
工具类,器物,contains,锛,器物
工具类,器物,contains,锯,器物
工具类,器物,contains,纺轮,器物
工具类,器物,contains,鱼钩,器物
工具类,器物,contains,钻,器物
其他礼仪用器,器物,contains,铜牌饰,器物
其他礼仪用器,器物,contains,圆形器,器物
二里头文化一期,时间,contains,铜块,器物
二里头文化一期,时间,contains,铜刀,器物
二里头文化二期,时间,contains,铜刀,器物
二里头文化二期,时间,contains,铜锥,器物
二里头文化二期,时间,contains,铜铃,器物
二里头文化二期,时间,contains,铜牌饰,器物
二里头文化二期,时间,contains,铜块,器物
二里头文化铜器,器物,hasFunction,容器,器物
二里头文化铜器,器物,hasFunction,武器,器物
二里头文化铜器,器物,hasFunction,工具,器物
二里头文化铜器,器物,wasExcavatedin,二里头文化三期,时间
二里头文化铜器,器物,contains,铜爵,器物
二里头文化铜器,器物,contains,铜铃,器物
二里头文化铜器,器物,contains,铜戈,器物
二里头文化铜器,器物,contains,铜戚,器物
二里头文化铜器,器物,contains,铜镞,器物
二里头文化铜器,器物,contains,铜刀,器物
二里头文化铜器,器物,contains,铜锛,器物
二里头文化铜器,器物,contains,铜凿,器物
二里头文化铜器,器物,contains,铜锯,器物
二里头文化铜器,器物,contains,铜纺轮,器物
二里头文化铜器,器物,contains,铜鱼钩,器物
二里头文化铜器,器物,contains,圆形器,器物
二里头文化四期,时间,contains,铜鼎,器物
二里头文化四期,时间,contains,铜鬲,器物
二里头文化四期,时间,contains,铜斝,器物
二里头文化四期,时间,contains,铜盉,器物
二里头文化四期,时间,contains,铜觚,器物
二里头文化四期,时间,contains,铜钺,器物
铜器,器物,bearsFeature,浑铸成形,特征
兵器类,器物,UsedGeneralTechnique,双面范铸造,工艺技法
工具,器物,UsedGeneralTechnique,双面范铸造,工艺技法
牌饰,器物,UsedGeneralTechnique,镶嵌工艺,工艺技法
镶嵌绿松石的圆形器,器物,UsedGeneralTechnique,镶嵌工艺,工艺技法
镶嵌绿松石的圆形器,器物,wasExcavatedin,二里头遗址,大遗址
牌饰,器物,wasExcavatedin,二里头遗址,大遗址
玉器,器物,hasFunction,装饰品,功用
装饰品,功用,hasType,实用品,功用
装饰品,功用,hasType,艺术品,功用
金沙玉石牙璋,器物,wasExcavatedin,金沙遗址,其他遗址
牙璋,器物,wasExcavatedin,墓葬,遗迹
墓葬,遗迹,wasExcavatedin,二里头遗址,大遗址
牙璋,器物,hasAmount,4件,数量
二里头文化二期,时间,contains,绿松石饰,器物
二里头文化二期,时间,contains,扁珠,器物
二里头文化二期,时间,contains,绿松石龙形器,器物
二里头文化二期,时间,contains,绿松石珠,器物
二里头文化二期,时间,contains,绿松石片,器物
石器,器物,hasFunction,生产与生活工具,功用
漆器,器物,wasExcavatedin,二里头遗址,大遗址
漆鼓,器物,hasFunction,乐器,功用
漆棺,器物,hasFunction,葬具,功用
漆器,器物,wasExcavatedin,二里头文化二期,时间
漆木器,器物,contains,漆觚,器物
漆木器,器物,contains,漆豆,器物
漆木器,器物,contains,漆勺,器物
漆木器,器物,contains,漆匣,器物
纺织物实物,器物,wasExcavatedin,二里头遗址,大遗址
纺织物痕迹,器物,wasExcavatedin,二里头遗址,大遗址
纺织物实物,器物,Existin,铜器,器物
纺织物实物,器物,Existin,玉器,器物
纺织物痕迹,器物,Existin,铜铃,器物
纺织物痕迹,器物,Existin,铜牌饰,器物
纺织物痕迹,器物,Existin,玉圭,器物
纺织物痕迹,器物,Existin,玉戈,器物
纺织物痕迹,器物,Existin,玉刀,器物
蚌器,器物,contains,刀,器物
蚌器,器物,contains,廉,器物
蚌器,器物,contains,铲,器物
蚌器,器物,contains,锯,器物
蚌器,器物,contains,锥,器物
蚌器,器物,contains,镞,器物
蚌器,器物,contains,蚌珠,器物
蚌器,器物,contains,穿孔蚌饰,器物
牙质类器物,器物,contains,牙锥,器物
牙质类器物,器物,contains,牙镞,器物
牙质类器物,器物,contains,牙饰,器物
牙质类器物,器物,contains,不明器形牙器,器物
贝、螺质类器物,器物,contains,贝饰,器物
贝、螺质类器物,器物,contains,海贝串饰,器物
贝、螺质类器物,器物,contains,螺壳,器物
乳钉纹铜爵,器物,wasExcavatedin,1975年,时间
乳钉纹铜爵,器物,wasExcavatedin,二里头遗址,大遗址
乳钉纹铜爵,器物,wasExcavatedby,中国科学院考古研究所,组织机构
二里头遗址,大遗址,date,夏代,时间
乳钉纹铜爵,器物,carries,乳钉纹,图案纹饰
乳钉纹铜爵,器物,wasProducedby,二里头先民,人物
乳钉纹铜爵,器物,UsedGeneralTechnique,“复合范”技术,工艺技法
二里头遗址,大遗址,islocatedin,偃师二里头村,地点
