Subject,SubjectLabel,Relation,Object,ObjectLabel
渤海国上京龙泉府遗址,大遗址,isLocatedin,黑龙江,地点
金上京会宁府遗址,大遗址,isLocatedin,黑龙江,地点
青龙镇遗址,大遗址,isLocatedin,上海,地点
鸿山墓群,大遗址,isLocatedin,江苏,地点
阖闾城遗址,大遗址,isLocatedin,江苏,地点
徐州汉墓群,大遗址,isLocatedin,江苏,地点
南朝陵墓群,大遗址,isLocatedin,江苏,地点
扬州城遗址,大遗址,isLocatedin,江苏,地点
明故宫遗址,大遗址,isLocatedin,江苏,地点
上山遗址,大遗址,isLocatedin,浙江,地点
河姆渡遗址,大遗址,isLocatedin,浙江,地点
良渚遗址,大遗址,isLocatedin,浙江,地点
安吉古城遗址,大遗址,isLocatedin,浙江,地点
上林湖越窑遗址,大遗址,isLocatedin,浙江,地点
大窑龙泉窑遗址,大遗址,isLocatedin,浙江,地点
临安城遗址,大遗址,isLocatedin,浙江,地点
宋六陵,大遗址,isLocatedin,浙江,地点
凌家滩遗址,大遗址,isLocatedin,安徽,地点
双墩遗址,大遗址,isLocatedin,安徽,地点
禹会村遗址,大遗址,isLocatedin,安徽,地点
寿春城遗址,大遗址,isLocatedin,安徽,地点
明中都遗址,大遗址,isLocatedin,安徽,地点
万寿岩遗址,大遗址,isLocatedin,福建,地点
平潭壳丘头遗址群,大遗址,isLocatedin,福建,地点
城村汉城遗址,大遗址,isLocatedin,福建,地点
德化窑遗址,大遗址,isLocatedin,福建,地点
吴城遗址（含筑卫城遗址）,大遗址,isLocatedin,江西,地点
紫金城城址与铁河古墓群（南昌汉代海昏侯墓）,大遗址,isLocatedin,江西,地点
铜岭铜矿遗址,大遗址,isLocatedin,江西,地点
吉州窑遗址,大遗址,isLocatedin,江西,地点
御窑厂窑址（含湖田窑址、高岭瓷土矿遗址）,大遗址,isLocatedin,江西,地点
吉仁台沟口遗址,大遗址,isLocatedin,新疆,地点
北庭故城遗址,大遗址,isLocatedin,新疆,地点
苏巴什佛寺遗址,大遗址,isLocatedin,新疆,地点
交河故城,大遗址,isLocatedin,新疆,地点
高昌故城,大遗址,isLocatedin,新疆,地点
达勒特古城遗址,大遗址,isLocatedin,新疆,地点
卓尔库特古城遗址,大遗址,isLocatedin,新疆,地点
阔纳协海尔古城遗址,大遗址,isLocatedin,新疆,地点
坎儿井地下水利工程,大遗址,isLocatedin,新疆,地点
兽骨,器物,wasExcavatedin,八里桥遗址,其他遗址
刻槽小罐,器物,wasExcavatedin,八里桥遗址,其他遗址
卜骨,器物,wasExcavatedin,八里桥遗址,其他遗址
玉斧,器物,wasExcavatedin,八里桥遗址,其他遗址
白陶爵,器物,wasExcavatedin,八里桥遗址,其他遗址
三星堆遗址,大遗址,isLocatedin,四川,地点
陶盉,器物,wasExcavatedin,三星堆遗址,大遗址
陶盉,器物,wasExcavatedin,二里头遗址,大遗址
周口店遗址,大遗址,isLocatedin,北京,地点
圆明园遗址,大遗址,isLocatedin,北京,地点
琉璃河遗址,大遗址,isLocatedin,北京,地点
泥河湾遗址群,大遗址,isLocatedin,河北,地点
燕下都遗址,大遗址,isLocatedin,河北,地点
中山古城遗址,大遗址,isLocatedin,河北,地点
赵邯郸故城（含赵王陵）,大遗址,isLocatedin,河北,地点
邺城遗址,大遗址,isLocatedin,河北,地点
定窑遗址,大遗址,isLocatedin,河北,地点
元中都遗址,大遗址,isLocatedin,河北,地点
陶寺遗址,大遗址,isLocatedin,山西,地点
侯马晋国遗址,大遗址,isLocatedin,山西,地点
曲村—天马遗址,大遗址,isLocatedin,山西,地点
晋阳古城遗址,大遗址,isLocatedin,山西,地点
蒲津渡与蒲州故城遗址,大遗址,isLocatedin,山西,地点
和林格尔土城子遗址,大遗址,isLocatedin,内蒙古,地点
居延遗址（含甘肃部分）,大遗址,isLocatedin,内蒙古,地点
辽上京遗址（含辽陵及奉陵邑）,大遗址,isLocatedin,内蒙古,地点
元上都遗址,大遗址,isLocatedin,内蒙古,地点
