Subject,Relation,Object
陶器,wasExcavatedin,二里头
铜器,wasExcavatedin,二里头
冶炼遗物,wasExcavatedin,二里头
玉器,wasExcavatedin,二里头
绿松石器,wasExcavatedin,二里头
石器,wasExcavatedin,二里头
漆木器,wasExcavatedin,二里头
纺织品,wasExcavatedin,二里头
骨、角、蚌、牙、贝、螺质遗物,wasExcavatedin,二里头
陶器,Belongsto,二里头文化
陶器,bearsFeature,形制多样、种类丰富
二里头文化,contains,二里头遗址
陶器,hasFunction,生活用具
陶器,hasFunction,其他器具
陶器,wasExcavatedin,二里头遗址
陶容器,hasType,深腹罐
陶容器,hasType,圆腹罐
陶容器,hasType,鼎
陶容器,hasType,甑
陶容器,hasType,鬲
陶容器,hasType,盆
陶容器,hasType,刻槽盆
陶容器,hasType,平底盆
陶容器,hasType,豆
陶容器,hasType,三足皿
陶容器,hasType,捏口罐
陶容器,hasType,敛口罐
陶容器,hasType,高领罐
陶容器,hasType,高领尊
陶容器,hasType,矮领尊
陶容器,hasType,大口尊
陶容器,hasType,小尊
陶容器,hasType,缸
陶容器,hasType,瓮
陶容器,hasType,鬶
陶容器,hasType,盉
陶容器,hasType,爵
陶容器,hasType,觚
陶容器,hasType,杯
陶容器,hasType,器盖
普通易熔黏土,hasType,夹砂
普通易熔黏土,hasType,泥质
一期早段,bearsFeature,泥质陶数量略多于夹砂陶
一期早段,contains,尊
一期早段,contains,深腹罐
一期早段,contains,圆腹罐
一期早段,contains,鼎
一期早段,contains,盉
一期早段,contains,折沿盆
一期早段,contains,刻槽盆
一期早段,contains,捏口罐
一期早段,contains,平底盆
一期早段,contains,瓮
一期早段,contains,鬶
一期早段,contains,盉
一期早段,contains,爵
一期早段,contains,豆
一期早段,contains,小口尊
一期早段,contains,矮领尊
一期早段,contains,缸
一期早段,contains,器盖
一期晚段,contains,尊
一期晚段,contains,深腹罐
一期晚段,contains,圆腹罐
一期晚段,contains,鼎
一期晚段,contains,甑
一期晚段,contains,刻槽盆
一期晚段,contains,捏口罐
一期晚段,contains,壶
一期晚段,contains,觚
一期晚段,contains,鬶
一期晚段,contains,盉
一期晚段,contains,爵
一期晚段,contains,豆
一期晚段,contains,三足皿
一期晚段,contains,圈足盘
一期晚段,contains,折沿盆
一期晚段,contains,平底盆
